boreholeNo,depth,nValue,rqd
BH-037,25.5,50,4
BH-037,27.0,2,14
BH-037,28.5,9,32
BH-037,30.0,48,91
BH-037,31.5,18,42
BH-037,33.0,39,50
BH-037,34.5,10,31
BH-037,36.0,34,31
BH-037,37.5,33,36
BH-037,39.0,10,6
BH-037,40.5,31,86
BH-038,1.5,9,88
BH-038,3.0,27,59
BH-038,4.5,18,42
BH-038,6.0,33,1
BH-038,7.5,15,77
BH-038,9.0,41,36
BH-038,10.5,7,16
BH-038,12.0,12,75
BH-038,13.5,29,74
BH-038,15.0,32,20
BH-038,16.5,16,28
BH-038,18.0,46,8
BH-038,19.5,14,30
BH-038,21.0,8,69
BH-038,22.5,30,86
BH-038,24.0,14,57
BH-038,25.5,34,2
BH-038,27.0,47,74
BH-038,28.5,23,55
BH-038,30.0,9,64
BH-038,31.5,30,56
BH-038,33.0,12,40
BH-038,34.5,31,93
BH-038,36.0,9,75
BH-038,37.5,44,64
BH-038,39.0,14,8
BH-038,40.5,6,42
BH-038,42.0,22,87
BH-038,43.5,47,67
BH-038,45.0,35,27
BH-039,1.5,45,57
BH-039,3.0,26,18
BH-039,4.5,14,43
BH-039,6.0,46,90
BH-039,7.5,1,96
BH-039,9.0,18,73
BH-039,10.5,28,59
BH-039,12.0,28,7
BH-039,13.5,44,55
BH-039,15.0,28,100
BH-039,16.5,17,81
BH-039,18.0,48,99
BH-039,19.5,42,87
BH-039,21.0,8,94
BH-039,22.5,43,65
BH-039,24.0,32,89
BH-039,25.5,9,34
BH-039,27.0,42,90
BH-039,28.5,32,6
BH-039,30.0,22,38
BH-039,31.5,19,87
BH-039,33.0,39,68
BH-039,34.5,28,85
BH-039,36.0,18,59
BH-039,37.5,7,50
BH-039,39.0,45,42
BH-039,40.5,19,4
BH-039,42.0,48,94
BH-039,43.5,46,32
BH-039,45.0,40,72
BH-039,46.5,43,83
BH-039,48.0,49,38
BH-039,49.5,33,95
BH-039,51.0,40,72
BH-039,52.5,22,73
BH-039,54.0,25,38
BH-040,1.5,1,97
BH-040,3.0,37,50
BH-040,4.5,4,21
BH-040,6.0,22,73
BH-040,7.5,32,41
BH-040,9.0,47,21
BH-040,10.5,32,70
BH-040,12.0,31,41
BH-040,13.5,20,24
BH-040,15.0,32,69
BH-040,16.5,24,22
BH-040,18.0,25,86
BH-040,19.5,27,6
BH-040,21.0,20,5
BH-040,22.5,31,41
BH-040,24.0,9,40
BH-040,25.5,41,89
BH-040,27.0,36,87
BH-040,28.5,40,89
BH-040,30.0,9,32
BH-040,31.5,21,11
BH-040,33.0,8,75
BH-040,34.5,32,60
BH-040,36.0,29,89
BH-040,37.5,2,57
BH-040,39.0,10,33
BH-041,1.5,37,12
BH-041,3.0,29,42
BH-041,4.5,27,18
BH-041,6.0,26,44
BH-041,7.5,37,40
BH-041,9.0,2,49
BH-041,10.5,39,23
BH-041,12.0,11,75
BH-041,13.5,43,11
BH-041,15.0,27,88
BH-041,16.5,43,33
BH-041,18.0,43,24
BH-041,19.5,19,41
BH-041,21.0,32,23
BH-041,22.5,11,98
BH-041,24.0,45,57
BH-041,25.5,5,16
BH-041,27.0,9,13
BH-041,28.5,4,64
BH-041,30.0,35,2
BH-041,31.5,17,17
BH-041,33.0,2,4
BH-041,34.5,12,9
BH-041,36.0,11,8
BH-041,37.5,46,18
BH-041,39.0,44,49
BH-041,40.5,31,82
BH-041,42.0,11,25
BH-041,43.5,47,16
BH-041,45.0,47,49
BH-042,1.5,18,48
BH-042,3.0,24,86
BH-042,4.5,13,26
BH-042,6.0,13,73
BH-042,7.5,35,18
BH-042,9.0,43,11
BH-042,10.5,45,45
BH-042,12.0,34,80
BH-042,13.5,36,9
BH-042,15.0,46,8
BH-042,16.5,13,22
BH-042,18.0,45,13
BH-042,19.5,47,54
BH-042,21.0,20,19
BH-042,22.5,18,2
BH-042,24.0,31,21
BH-042,25.5,38,90
BH-042,27.0,9,71
BH-042,28.5,29,0
BH-042,30.0,2,20
BH-042,31.5,5,50
BH-042,33.0,38,23
BH-042,34.5,32,51
BH-042,36.0,25,66
BH-042,37.5,2,80
BH-042,39.0,13,36
BH-042,40.5,12,78
BH-042,42.0,2,59
BH-042,43.5,32,38
BH-042,45.0,11,18
BH-042,46.5,1,11
BH-042,48.0,30,51
BH-042,49.5,23,78
BH-042,51.0,40,33
BH-042,52.5,16,85
BH-042,54.0,40,64
BH-042,55.5,42,27
BH-043,1.5,20,17
BH-043,3.0,41,23
BH-043,4.5,23,95
BH-043,6.0,38,14
BH-043,7.5,21,34
BH-043,9.0,9,20
BH-043,10.5,42,77
BH-043,12.0,13,20
BH-043,13.5,37,14
BH-043,15.0,14,2
BH-043,16.5,47,24
BH-043,18.0,17,23
BH-043,19.5,11,46
BH-043,21.0,13,4
BH-043,22.5,10,26
BH-043,24.0,14,91
BH-043,25.5,20,40
BH-043,27.0,2,86
BH-043,28.5,38,78
BH-043,30.0,15,23
BH-043,31.5,28,49
BH-043,33.0,25,76
BH-043,34.5,39,38
BH-043,36.0,25,76
BH-044,1.5,47,11
BH-044,3.0,25,8
BH-044,4.5,17,38
BH-044,6.0,7,20
BH-044,7.5,29,74
BH-044,9.0,24,73
BH-044,10.5,40,55
BH-044,12.0,46,35
BH-044,13.5,15,28
BH-044,15.0,17,76
BH-044,16.5,17,64
BH-044,18.0,3,9
BH-044,19.5,18,91
BH-044,21.0,11,93
BH-044,22.5,40,23
BH-044,24.0,49,20
BH-044,25.5,41,67
BH-044,27.0,23,39
BH-044,28.5,7,6
BH-044,30.0,30,35
BH-044,31.5,11,25
BH-044,33.0,7,29
BH-044,34.5,32,92
BH-044,36.0,16,88
BH-044,37.5,22,87
BH-044,39.0,12,30
BH-044,40.5,10,92
BH-044,42.0,10,13
BH-044,43.5,49,33
BH-044,45.0,27,49
BH-044,46.5,3,42
BH-044,48.0,6,85
BH-044,49.5,8,100
BH-044,51.0,40,44
BH-044,52.5,47,62
BH-045,1.5,39,83
BH-045,3.0,24,43
BH-045,4.5,49,48
BH-045,6.0,10,9
BH-045,7.5,6,72
BH-045,9.0,21,5
BH-045,10.5,50,17
BH-045,12.0,32,65
BH-045,13.5,21,4
BH-045,15.0,16,83
BH-045,16.5,33,8
BH-045,18.0,38,44
BH-045,19.5,38,35
BH-045,21.0,26,69
BH-045,22.5,46,83
BH-045,24.0,32,85
BH-045,25.5,48,23
BH-045,27.0,47,46
BH-045,28.5,34,8
BH-045,30.0,42,45
BH-045,31.5,49,4
BH-045,33.0,9,34
BH-045,34.5,34,50
BH-045,36.0,23,58
BH-045,37.5,33,3
BH-045,39.0,32,20
BH-045,40.5,49,84
BH-045,42.0,47,41
BH-045,43.5,47,13
BH-045,45.0,9,21
BH-045,46.5,31,41
BH-045,48.0,46,26
BH-045,49.5,45,67
BH-045,51.0,37,30
BH-045,52.5,22,2
BH-046,1.5,50,53
BH-046,3.0,1,17
BH-046,4.5,32,80
BH-046,6.0,26,23
BH-046,7.5,44,51
BH-046,9.0,20,6
BH-046,10.5,19,85
BH-046,12.0,46,93
BH-046,13.5,35,41
BH-046,15.0,33,76
BH-046,16.5,27,19
BH-046,18.0,12,65
BH-046,19.5,47,63
BH-046,21.0,40,84
BH-046,22.5,12,46
BH-046,24.0,35,61
BH-046,25.5,17,53
BH-046,27.0,30,25
BH-046,28.5,38,0
BH-046,30.0,43,36
BH-046,31.5,1,50
BH-046,33.0,29,71
BH-046,34.5,18,8
BH-046,36.0,2,76
BH-046,37.5,3,98
BH-047,1.5,8,22
BH-047,3.0,35,12
BH-047,4.5,46,32
BH-047,6.0,47,92
BH-047,7.5,34,45
BH-047,9.0,11,14
BH-047,10.5,30,19
BH-047,12.0,30,37
BH-047,13.5,19,19
BH-047,15.0,11,51
BH-047,16.5,14,91
BH-047,18.0,12,28
BH-047,19.5,48,64
BH-047,21.0,50,99
BH-047,22.5,29,36
BH-047,24.0,48,52
BH-047,25.5,13,81
BH-047,27.0,35,47
BH-047,28.5,37,45
BH-047,30.0,38,50
BH-047,31.5,21,19
BH-047,33.0,49,43
BH-048,1.5,15,57
BH-048,3.0,23,63
BH-048,4.5,9,65
BH-048,6.0,47,22
BH-048,7.5,8,80
BH-048,9.0,15,56
BH-048,10.5,27,64
BH-048,12.0,18,87
BH-048,13.5,21,44
BH-048,15.0,43,23
BH-048,16.5,6,89
BH-048,18.0,39,43
BH-048,19.5,10,7
BH-048,21.0,4,1
BH-048,22.5,14,97
BH-048,24.0,45,17
BH-048,25.5,48,0
BH-048,27.0,23,37
BH-048,28.5,21,73
BH-048,30.0,35,29
BH-048,31.5,9,38
BH-048,33.0,12,17
BH-048,34.5,7,79
BH-048,36.0,24,36
BH-048,37.5,39,44
BH-048,39.0,47,42
BH-048,40.5,40,29
BH-048,42.0,9,6
BH-048,43.5,7,87
BH-048,45.0,7,66
BH-048,46.5,47,29
BH-048,48.0,20,27
BH-048,49.5,38,50
BH-048,51.0,50,64
BH-048,52.5,8,53
BH-048,54.0,10,93
BH-049,1.5,41,78
BH-049,3.0,2,18
BH-049,4.5,3,100
BH-049,6.0,13,17
BH-049,7.5,20,47
BH-049,9.0,29,50
BH-049,10.5,7,51
BH-049,12.0,45,68
BH-049,13.5,39,50
BH-049,15.0,21,10
BH-049,16.5,24,22
BH-049,18.0,22,14
BH-049,19.5,25,83
BH-049,21.0,18,30
BH-049,22.5,16,71
BH-049,24.0,12,62
BH-049,25.5,42,59
BH-049,27.0,5,3
BH-049,28.5,47,66
BH-049,30.0,32,89
BH-049,31.5,23,36
BH-049,33.0,47,77
BH-049,34.5,16,62
BH-049,36.0,8,71
BH-049,37.5,43,15
BH-049,39.0,25,22
BH-049,40.5,6,29
BH-049,42.0,4,15
BH-049,43.5,28,47
BH-049,45.0,37,8
BH-049,46.5,23,44
BH-049,48.0,50,71
BH-049,49.5,10,76
BH-050,1.5,15,59
BH-050,3.0,18,4
BH-050,4.5,46,5
BH-050,6.0,13,52
BH-050,7.5,19,2
BH-050,9.0,42,91
BH-050,10.5,45,3
BH-050,12.0,15,93
BH-050,13.5,21,37
BH-050,15.0,6,36
BH-050,16.5,27,92
BH-050,18.0,11,18
BH-050,19.5,1,69
BH-050,21.0,10,59
BH-050,22.5,40,62
BH-050,24.0,38,58
BH-050,25.5,12,53
BH-050,27.0,14,60
BH-050,28.5,17,2
BH-050,30.0,46,72
BH-050,31.5,40,7
BH-050,33.0,19,63
BH-050,34.5,15,75
BH-050,36.0,1,16
BH-050,37.5,37,87
BH-050,39.0,43,89
BH-050,40.5,25,43
BH-051,1.5,16,63
BH-051,3.0,45,81
BH-051,4.5,11,96
BH-051,6.0,15,35
BH-051,7.5,4,19
BH-051,9.0,39,49
BH-051,10.5,26,99
BH-051,12.0,28,30
BH-051,13.5,25,42
BH-051,15.0,33,5
BH-051,16.5,29,10
BH-051,18.0,3,23
BH-051,19.5,46,82
BH-051,21.0,34,88
BH-051,22.5,3,94
BH-051,24.0,44,89
BH-051,25.5,1,61
BH-051,27.0,12,4
BH-051,28.5,6,68
BH-051,30.0,43,13
BH-051,31.5,19,93
BH-051,33.0,16,66
BH-051,34.5,31,20
BH-051,36.0,40,64
BH-051,37.5,2,46
BH-052,1.5,8,53
BH-052,3.0,4,47
BH-052,4.5,15,78
BH-052,6.0,23,30
BH-052,7.5,38,12
BH-052,9.0,11,51
BH-052,10.5,28,77
BH-052,12.0,13,80
BH-052,13.5,42,91
BH-052,15.0,41,68
BH-052,16.5,13,100
BH-052,18.0,40,71
BH-052,19.5,15,35
BH-052,21.0,14,91
BH-052,22.5,50,37
BH-052,24.0,50,60
BH-052,25.5,11,86
BH-052,27.0,20,50
BH-052,28.5,9,80
BH-052,30.0,6,72
BH-052,31.5,35,97
BH-052,33.0,6,67
BH-052,34.5,24,36
BH-052,36.0,4,95
BH-052,37.5,12,79
BH-052,39.0,11,46
BH-052,40.5,23,13
BH-053,1.5,3,24
BH-053,3.0,14,24
BH-053,4.5,34,24
BH-053,6.0,6,76
BH-053,7.5,24,17
BH-053,9.0,23,88
BH-053,10.5,15,87
BH-053,12.0,12,44
BH-053,13.5,28,85
BH-053,15.0,8,30
BH-053,16.5,20,58
BH-053,18.0,23,68
BH-053,19.5,40,5
BH-053,21.0,34,16
BH-053,22.5,38,89
BH-053,24.0,18,97
BH-053,25.5,47,94
BH-053,27.0,27,76
BH-053,28.5,33,10
BH-053,30.0,38,71
BH-053,31.5,23,49
BH-053,33.0,28,0
BH-053,34.5,28,56
BH-053,36.0,18,6
BH-053,37.5,36,25
BH-053,39.0,50,70
BH-053,40.5,25,27
BH-053,42.0,3,93
BH-053,43.5,8,65
BH-053,45.0,27,4
BH-053,46.5,3,91
BH-053,48.0,19,49
BH-053,49.5,3,96
BH-053,51.0,38,11
BH-053,52.5,17,68
BH-053,54.0,39,41
BH-054,1.5,37,65
BH-054,3.0,37,43
BH-054,4.5,18,7
BH-054,6.0,28,8
BH-054,7.5,18,59
BH-054,9.0,40,64
BH-054,10.5,48,61
BH-054,12.0,38,73
BH-054,13.5,36,29
BH-054,15.0,19,95
BH-054,16.5,22,100
BH-054,18.0,22,66
BH-054,19.5,32,20
BH-054,21.0,15,60
BH-054,22.5,9,12
BH-054,24.0,38,21
BH-054,25.5,16,47
BH-054,27.0,12,0
BH-054,28.5,10,36
BH-054,30.0,7,72
BH-054,31.5,2,92
BH-054,33.0,8,56
BH-054,34.5,44,70
BH-054,36.0,47,23
BH-055,1.5,39,38
BH-055,3.0,46,26
BH-055,4.5,2,75
BH-055,6.0,29,80
BH-055,7.5,24,56
BH-055,9.0,30,95
BH-055,10.5,31,89
BH-055,12.0,2,45
BH-055,13.5,24,97
BH-055,15.0,17,76
BH-055,16.5,37,94
BH-055,18.0,48,59
BH-055,19.5,28,18
BH-055,21.0,42,33
BH-055,22.5,36,62
BH-055,24.0,48,20
BH-055,25.5,47,55
BH-055,27.0,29,25
BH-055,28.5,45,91
BH-055,30.0,13,93
BH-055,31.5,23,8
BH-055,33.0,50,28
BH-055,34.5,14,26
BH-055,36.0,16,91
BH-055,37.5,27,22
BH-055,39.0,35,29
BH-055,40.5,18,39
BH-055,42.0,42,65
BH-055,43.5,4,62
BH-055,45.0,49,55
BH-056,1.5,32,71
BH-056,3.0,39,3
BH-056,4.5,18,50
BH-056,6.0,11,43
BH-056,7.5,31,13
BH-056,9.0,4,24
BH-056,10.5,32,50
BH-056,12.0,18,71
BH-056,13.5,15,47
BH-056,15.0,14,50
BH-056,16.5,7,2
BH-056,18.0,15,96
BH-056,19.5,26,92
BH-056,21.0,17,57
BH-056,22.5,12,86
BH-056,24.0,41,98
BH-056,25.5,33,50
BH-056,27.0,25,79
BH-056,28.5,17,7
BH-056,30.0,38,21
BH-056,31.5,37,35
BH-056,33.0,49,50
BH-056,34.5,4,48
BH-056,36.0,41,85
BH-056,37.5,9,60
BH-056,39.0,8,61
BH-056,40.5,17,56
BH-056,42.0,15,100
BH-056,43.5,12,74
BH-056,45.0,11,92
BH-056,46.5,31,17
BH-056,48.0,26,6
BH-056,49.5,22,42
BH-056,51.0,47,84
BH-056,52.5,28,63
BH-056,54.0,8,55
BH-056,55.5,26,88
BH-057,1.5,23,45
BH-057,3.0,11,35
BH-057,4.5,33,12
BH-057,6.0,43,95
BH-057,7.5,3,49
BH-057,9.0,6,36
BH-057,10.5,18,80
BH-057,12.0,50,13
BH-057,13.5,15,71
BH-057,15.0,42,11
BH-057,16.5,48,42
BH-057,18.0,17,0
BH-057,19.5,41,38
BH-057,21.0,46,100
BH-057,22.5,8,61
BH-057,24.0,34,48
BH-057,25.5,39,79
BH-057,27.0,24,99
BH-057,28.5,17,38
BH-057,30.0,2,11
BH-057,31.5,39,13
BH-057,33.0,3,31
BH-057,34.5,22,58
BH-057,36.0,49,21
BH-057,37.5,32,63
BH-057,39.0,14,51
BH-057,40.5,25,94
BH-057,42.0,17,81
BH-057,43.5,25,35
BH-057,45.0,50,31
BH-057,46.5,36,67
BH-057,48.0,35,20
BH-057,49.5,28,35
BH-058,1.5,16,36
BH-058,3.0,49,72
BH-058,4.5,50,34
BH-058,6.0,10,75
BH-058,7.5,29,95
BH-058,9.0,38,71
BH-058,10.5,34,95
BH-058,12.0,11,61
BH-058,13.5,18,50
BH-058,15.0,5,2
BH-058,16.5,29,94
BH-058,18.0,17,40
BH-058,19.5,29,10
BH-058,21.0,48,22
BH-058,22.5,30,71
BH-058,24.0,48,30
BH-058,25.5,39,69
BH-058,27.0,21,95
BH-058,28.5,6,42
BH-058,30.0,18,7
BH-058,31.5,20,43
BH-058,33.0,2,96
BH-058,34.5,48,7
BH-058,36.0,49,1
BH-058,37.5,37,13
BH-058,39.0,21,66
BH-058,40.5,40,100
BH-058,42.0,23,7
BH-059,1.5,15,65
BH-059,3.0,38,8
BH-059,4.5,12,79
BH-059,6.0,13,99
BH-059,7.5,12,75
BH-059,9.0,47,81
BH-059,10.5,49,21
BH-059,12.0,41,94
BH-059,13.5,29,28
BH-059,15.0,43,0
BH-059,16.5,29,75
BH-059,18.0,49,89
BH-059,19.5,16,67
BH-059,21.0,39,70
BH-059,22.5,46,35
BH-059,24.0,45,30
BH-059,25.5,27,32
BH-059,27.0,47,93
BH-059,28.5,14,54
BH-059,30.0,41,70
BH-059,31.5,6,74
BH-059,33.0,39,81
BH-059,34.5,24,45
BH-059,36.0,46,26
BH-059,37.5,48,93
BH-059,39.0,32,49
BH-059,40.5,32,89
BH-059,42.0,32,60
BH-059,43.5,8,78
BH-059,45.0,3,41
BH-059,46.5,45,86
BH-059,48.0,37,48
BH-059,49.5,30,83
BH-059,51.0,7,25
BH-059,52.5,3,92
BH-060,1.5,28,74
BH-060,3.0,14,86
BH-060,4.5,10,43
BH-060,6.0,8,40
BH-060,7.5,10,39
BH-060,9.0,42,13
BH-060,10.5,7,96
BH-060,12.0,16,11
BH-060,13.5,1,71
BH-060,15.0,22,44
BH-060,16.5,33,59
BH-060,18.0,39,13
BH-060,19.5,12,30
BH-060,21.0,10,30
BH-060,22.5,40,19
BH-060,24.0,19,11
BH-060,25.5,26,90
BH-060,27.0,34,53
BH-060,28.5,47,28
BH-060,30.0,28,56
BH-060,31.5,4,9
BH-060,33.0,2,43
BH-060,34.5,32,21
BH-060,36.0,22,42
BH-060,37.5,10,77
BH-061,1.5,45,7
BH-061,3.0,5,57
BH-061,4.5,12,40
BH-061,6.0,2,12
BH-061,7.5,21,85
BH-061,9.0,50,79
BH-061,10.5,38,88
BH-061,12.0,5,96
BH-061,13.5,49,81
BH-061,15.0,1,7
BH-061,16.5,18,84
BH-061,18.0,20,15
BH-061,19.5,42,82
BH-061,21.0,5,96
BH-061,22.5,47,55
BH-061,24.0,22,25
BH-061,25.5,31,58
BH-061,27.0,42,55
BH-061,28.5,8,76
BH-061,30.0,13,1
BH-062,1.5,43,58
BH-062,3.0,15,92
BH-062,4.5,18,78
BH-062,6.0,24,77
BH-062,7.5,23,24
BH-062,9.0,46,7
BH-062,10.5,13,61
BH-062,12.0,46,56
BH-062,13.5,31,60
BH-062,15.0,22,18
BH-062,16.5,22,90
BH-062,18.0,39,16
BH-062,19.5,8,97
BH-062,21.0,17,86
BH-062,22.5,31,62
BH-062,24.0,29,73
BH-062,25.5,49,29
BH-062,27.0,48,11
BH-062,28.5,49,63
BH-062,30.0,25,60
BH-062,31.5,41,32
BH-062,33.0,8,37
BH-062,34.5,9,22
BH-062,36.0,24,93
BH-062,37.5,42,74
BH-062,39.0,25,74
BH-062,40.5,16,7
BH-062,42.0,46,25
BH-062,43.5,34,0
BH-062,45.0,45,30
BH-062,46.5,27,59
BH-062,48.0,22,15
BH-062,49.5,42,1
BH-062,51.0,9,64
BH-062,52.5,12,29
BH-063,1.5,32,9
BH-063,3.0,2,73
BH-063,4.5,48,27
BH-063,6.0,29,60
BH-063,7.5,22,92
BH-063,9.0,31,45
BH-063,10.5,36,68
BH-063,12.0,47,61
BH-063,13.5,2,30
BH-063,15.0,46,0
BH-063,16.5,47,42
BH-063,18.0,45,88
BH-063,19.5,41,68
BH-063,21.0,7,55
BH-063,22.5,40,43
BH-063,24.0,21,66
BH-063,25.5,26,38
BH-063,27.0,34,76
BH-063,28.5,32,50
BH-063,30.0,38,48
BH-063,31.5,5,26
BH-063,33.0,1,74
BH-063,34.5,34,31
BH-063,36.0,17,55
BH-063,37.5,23,11
BH-063,39.0,45,21
BH-063,40.5,31,73
BH-063,42.0,47,25
BH-063,43.5,3,69
BH-063,45.0,47,74
BH-063,46.5,43,2
BH-063,48.0,26,49
BH-063,49.5,18,11
BH-063,51.0,13,61
BH-063,52.5,5,90
BH-063,54.0,16,49
BH-063,55.5,10,66
BH-063,57.0,10,48
BH-064,1.5,38,42
BH-064,3.0,50,38
BH-064,4.5,48,91
BH-064,6.0,44,91
BH-064,7.5,23,18
BH-064,9.0,17,51
BH-064,10.5,23,67
BH-064,12.0,2,99
BH-064,13.5,15,3
BH-064,15.0,28,26
BH-064,16.5,5,14
BH-064,18.0,29,25
BH-064,19.5,29,80
BH-064,21.0,27,16
BH-064,22.5,37,35
BH-064,24.0,33,12
BH-064,25.5,29,11
BH-064,27.0,11,78
BH-064,28.5,46,28
BH-064,30.0,39,59
BH-064,31.5,9,23
BH-064,33.0,26,32
BH-064,34.5,11,93
BH-064,36.0,45,57
BH-064,37.5,45,38
BH-064,39.0,8,18
BH-064,40.5,24,66
BH-064,42.0,21,70
BH-064,43.5,50,68
BH-064,45.0,32,84
BH-064,46.5,17,96
BH-065,1.5,23,85
BH-065,3.0,1,79
BH-065,4.5,20,7
BH-065,6.0,22,56
BH-065,7.5,22,14
BH-065,9.0,20,57
BH-065,10.5,25,70
BH-065,12.0,29,4
BH-065,13.5,45,54
BH-065,15.0,43,84
BH-065,16.5,8,32
BH-065,18.0,28,24
BH-065,19.5,38,86
BH-065,21.0,45,46
BH-065,22.5,46,78
BH-065,24.0,46,72
BH-065,25.5,4,45
BH-065,27.0,38,69
BH-065,28.5,43,25
BH-065,30.0,12,98
BH-065,31.5,20,62
BH-065,33.0,35,71
BH-065,34.5,48,77
BH-065,36.0,11,40
BH-065,37.5,20,76
BH-065,39.0,5,91
BH-065,40.5,3,93
BH-065,42.0,24,91
BH-065,43.5,2,17
BH-065,45.0,25,86
BH-065,46.5,17,63
BH-066,1.5,43,25
BH-066,3.0,24,62
BH-066,4.5,24,82
BH-066,6.0,50,38
BH-066,7.5,11,32
BH-066,9.0,49,88
BH-066,10.5,11,29
BH-066,12.0,8,96
BH-066,13.5,37,9
BH-066,15.0,32,62
BH-066,16.5,40,95
BH-066,18.0,45,18
BH-066,19.5,10,37
BH-066,21.0,41,65
BH-066,22.5,27,17
BH-066,24.0,18,72
BH-066,25.5,5,51
BH-066,27.0,10,50
BH-066,28.5,33,38
BH-066,30.0,1,54
BH-066,31.5,41,50
BH-066,33.0,30,76
BH-066,34.5,21,48
BH-066,36.0,21,57
BH-066,37.5,3,61
BH-066,39.0,12,13
BH-066,40.5,15,53
BH-066,42.0,24,21
BH-066,43.5,3,19
BH-066,45.0,28,94
BH-066,46.5,14,68
BH-067,1.5,8,26
BH-067,3.0,38,47
BH-067,4.5,17,30
BH-067,6.0,34,99
BH-067,7.5,20,48
BH-067,9.0,26,9
BH-067,10.5,34,6
BH-067,12.0,1,4
BH-067,13.5,38,50
BH-067,15.0,4,28
BH-067,16.5,24,32
BH-067,18.0,4,77
BH-067,19.5,13,91
BH-067,21.0,20,22
BH-067,22.5,36,4
BH-067,24.0,1,64
BH-067,25.5,19,64
BH-067,27.0,22,79
BH-067,28.5,22,18
BH-067,30.0,40,60
BH-067,31.5,19,8
BH-067,33.0,32,2
BH-067,34.5,1,63
BH-067,36.0,48,70
BH-067,37.5,23,72
BH-067,39.0,47,14
BH-067,40.5,23,57
BH-067,42.0,33,21
BH-067,43.5,28,22
BH-067,45.0,35,100
BH-067,46.5,31,48
BH-067,48.0,13,81
BH-067,49.5,22,31
BH-067,51.0,18,15
BH-067,52.5,44,69
BH-067,54.0,16,40
BH-068,1.5,48,10
BH-068,3.0,39,38
BH-068,4.5,20,85
BH-068,6.0,47,81
BH-068,7.5,40,9
BH-068,9.0,17,27
BH-068,10.5,3,31
BH-068,12.0,28,79
BH-068,13.5,13,64
BH-068,15.0,9,34
BH-068,16.5,34,67
BH-068,18.0,4,74
BH-068,19.5,46,26
BH-068,21.0,14,4
BH-068,22.5,2,66
BH-068,24.0,19,35
BH-068,25.5,13,10
BH-068,27.0,17,61
BH-068,28.5,19,12
BH-068,30.0,35,49
BH-068,31.5,35,82
BH-068,33.0,49,10
BH-068,34.5,30,42
BH-068,36.0,50,1
BH-068,37.5,42,94
BH-068,39.0,6,95
BH-068,40.5,24,61
BH-068,42.0,16,17
BH-068,43.5,40,38
BH-068,45.0,46,0
BH-068,46.5,44,23
BH-068,48.0,37,61
BH-068,49.5,20,74
BH-068,51.0,14,76
BH-068,52.5,12,81
BH-069,1.5,27,18
BH-069,3.0,45,91
BH-069,4.5,16,83
BH-069,6.0,38,20
BH-069,7.5,50,35
BH-069,9.0,43,27
BH-069,10.5,37,63
BH-069,12.0,19,39
BH-069,13.5,47,98
BH-069,15.0,42,92
BH-069,16.5,39,30
BH-069,18.0,41,35
BH-069,19.5,44,71
BH-069,21.0,34,5
BH-069,22.5,35,75
BH-069,24.0,19,94
BH-069,25.5,31,83
BH-069,27.0,32,13
BH-069,28.5,47,19
BH-069,30.0,17,62
BH-069,31.5,6,62
BH-069,33.0,33,9
BH-069,34.5,37,56
BH-069,36.0,15,47
BH-069,37.5,19,82
BH-069,39.0,42,88
BH-069,40.5,43,4
BH-069,42.0,40,39
BH-069,43.5,20,26
BH-069,45.0,42,78
BH-069,46.5,22,60
BH-069,48.0,12,60
BH-069,49.5,34,87
BH-069,51.0,40,43
BH-069,52.5,28,16
BH-069,54.0,10,9
BH-069,55.5,46,53
BH-070,1.5,44,96
BH-070,3.0,41,29
BH-070,4.5,19,18
BH-070,6.0,16,95
BH-070,7.5,30,74
BH-070,9.0,38,55
BH-070,10.5,17,96
BH-070,12.0,40,70
BH-070,13.5,14,10
BH-070,15.0,21,61
BH-070,16.5,35,86
BH-070,18.0,36,14
BH-070,19.5,21,69
BH-070,21.0,7,48
BH-070,22.5,44,58
BH-070,24.0,37,96
BH-070,25.5,34,69
BH-070,27.0,28,99
BH-070,28.5,49,44
BH-070,30.0,1,46
BH-070,31.5,47,10
BH-070,33.0,9,97
BH-070,34.5,24,20
BH-070,36.0,34,60
BH-070,37.5,11,88
BH-070,39.0,20,54
BH-070,40.5,30,48
BH-070,42.0,46,69
BH-071,1.5,25,39
BH-071,3.0,20,52
BH-071,4.5,32,79
BH-071,6.0,18,14
BH-071,7.5,7,11
BH-071,9.0,38,24
BH-071,10.5,4,65
BH-071,12.0,6,49
BH-071,13.5,24,32
BH-071,15.0,16,8
BH-071,16.5,14,72
BH-071,18.0,12,1
BH-071,19.5,1,13
BH-071,21.0,9,77
BH-071,22.5,16,60
BH-071,24.0,46,10
BH-071,25.5,40,29
BH-071,27.0,42,18
BH-071,28.5,44,100
BH-071,30.0,21,14
BH-071,31.5,50,91
BH-071,33.0,45,65
BH-071,34.5,1,78
BH-071,36.0,9,4
BH-071,37.5,28,92
BH-071,39.0,40,45
BH-071,40.5,40,58
BH-071,42.0,39,16
BH-071,43.5,22,6
BH-071,45.0,26,62
BH-071,46.5,44,20
BH-072,1.5,36,12
BH-072,3.0,18,81
BH-072,4.5,7,75
BH-072,6.0,20,57
BH-072,7.5,24,87
BH-072,9.0,40,52
BH-072,10.5,35,51
BH-072,12.0,45,59
BH-072,13.5,5,34
BH-072,15.0,45,16
BH-072,16.5,47,20
BH-072,18.0,27,46
BH-072,19.5,30,16
BH-072,21.0,15,13
BH-072,22.5,40,25
